id,followers,username,time,last_child_time,Hop,Non_follower
7.59112E+17,991,glo_benzo,65089,667808,3,0
1.34076E+18,8,PTau13,65161,65161,2,0
621294757,1374,JakeyJim28,65161,90957,1,0
1.4718E+18,1450,davisfever,65161,65161,1,0
1.09845E+18,478,SeekRestMusic,65161,65161,2,0
1.61855E+18,0,england_sing,65161,65161,1,1
1.00983E+18,1278,rajioladipupo7,65161,65161,2,0
400906121,1319,LONGLIVEDRE16,65161,65161,2,0
1.51306E+18,16,Blessingayenif,65161,65161,1,1
1.5902E+18,12,DuShane_XXII,65161,65161,1,1
2332991287,36,rai_1126,65161,65161,2,0
1.24407E+18,225,rene_obenewaa,65161,65161,3,0
1.15149E+18,16,bil_patricia,65161,65161,1,1
1.50383E+18,23,Harman392,65234,65234,2,0
2943835767,60,shady_hop,65234,65234,1,1
1.21297E+18,278,iam_banbo,65234,65234,3,0
3320642299,60,RenzoDLA,65234,65234,1,1
1.59693E+18,27,bra05331094,65234,65234,1,1
2902568555,603,amirigotit,65234,65234,1,0
8.82781E+17,395,WITHERDRAGONYT,65234,65234,2,0
3048320550,310,_swego,65306,130734,2,0
1.14727E+18,184,Kwame3Shadow,65306,65306,2,0
395077635,27849,remember_tyrell,65306,667808,2,0
333416695,178,georges_bh,65306,65306,1,0
1.00589E+18,412,malikjostany_,65306,65306,1,0
28072175,547,Dame_Unique,65306,65306,1,1
1.28887E+18,0,ennnnnnnnnnnn49,65378,65378,1,0
1.56356E+18,180,KAROLO001,65378,65378,3,0
1.21503E+18,2664,whoisjacian,65378,667808,2,0
1.04813E+18,446,DeeenSZN,65378,65378,1,1
9.87201E+17,57,BigRiggsss,65378,65378,1,0
8.47017E+17,1011,ChiChi_M__,65378,65378,2,0
1.33637E+18,15,TheBakercrush,65378,65378,2,0
1.14067E+18,872,AlexB10309477,65378,65378,2,0
1.09316E+18,50,NyandaYepahla,65378,65378,1,1
1362864624,679,daysi_xox,65378,65378,1,0
1.27864E+18,19,MxoThoth,65378,65378,2,0
1.0054E+18,381,ijele_omambala,65378,65378,1,0
1.20464E+18,125,optmemories,65450,65450,2,0
1.15232E+18,596,retriever_2420,65450,104321,2,0
8.80341E+17,597,Shaddy_Gre,65450,65450,1,1
1.34702E+18,18,kkylachaffin,65450,65450,1,1
3018660297,351,Jahcari96,65450,65450,1,0
9.3227E+17,393,gvbdiel,65450,65450,1,1
1.36172E+18,147,allnaturalmood,65450,65450,3,0
1.48809E+18,29,elijay_twenty,65450,65450,3,0
1.09262E+18,19,sshaal19,65450,65450,1,0
1.29788E+18,142,manzliketirries,65450,65450,1,0
1258674654,270,gennygarfio,65522,65522,1,0
332099426,791,KillemKay_,65522,65522,1,0
1.22963E+18,9,welovechrry,65522,65522,3,0
1245278575,26,AP_1605,65522,65522,2,0
1.28046E+18,1755,itz_attahkrane,65522,667808,2,0
1.35523E+18,1793,talesbydarkhalf,65595,667808,2,0
327768868,1470,_MAk_DAddY_,65595,667808,2,0
1.06391E+18,4569,luchu99,65595,183674,1,0
1.48198E+18,394,Onecannotbe_me,65595,667808,2,0
