id,time,type,prev_id,Engagement_index,Hop,Non_follower
1.62793E+18,38649,like,1.62793E+18,0,1,1
1.15902E+18,38649,like,1.15902E+18,0,1,1
174801749,38649,like,174801749,0,1,0
1.02725E+18,38649,like,1.02725E+18,0,1,0
559650659,38649,like,559650659,0,2,0
1679301018_2,38649,like,1679301018,2,1,0
9.16467E+17,38649,like,9.16467E+17,0,2,0
1.42776E+18,38649,like,1.42776E+18,0,1,0
152914578,38649,like,152914578,0,2,0
71690958_1,38649,like,71690958,1,1,0
1229929054272249856_1,38649,like,1.22993E+18,1,2,0
8.95783E+17,38649,like,8.95783E+17,0,1,0
7.67586E+17,38649,like,7.67586E+17,0,2,0
2148867934,38649,like,2148867934,0,1,0
125371131,38649,like,125371131,0,1,0
1.30304E+18,38649,like,1.30304E+18,0,3,0
7.47841E+17,38649,like,7.47841E+17,0,1,0
925214069694566400_1,38649,like,9.25214E+17,1,2,0
1586697810,38649,like,1586697810,0,1,0
1875890814,38649,like,1875890814,0,1,0
1.4746E+18,38649,like,1.4746E+18,0,1,0
852074244,38649,like,852074244,0,1,1
1278584490,38649,like,1278584490,0,2,0
331271292,38649,like,331271292,0,1,0
7.78187E+17,38649,like,7.78187E+17,0,1,0
1.27622E+18,38649,like,1.27622E+18,0,2,0
2186904703,38649,like,2186904703,0,1,1
1522946220_1,38722,like,1522946220,1,1,0
66300044,38722,like,66300044,0,3,0
447746938,38722,like,447746938,0,1,0
1.27103E+18,38722,like,1.27103E+18,0,2,0
9.1379E+17,38722,like,9.1379E+17,0,2,0
9.78761E+17,38722,like,9.78761E+17,0,1,0
95463959,38722,like,95463959,0,2,1
1.52547E+18,38722,like,1.52547E+18,0,3,0
1042723896,38722,like,1042723896,0,1,0
9.24392E+17,38722,like,9.24392E+17,0,2,0
8.97809E+17,38722,like,8.97809E+17,0,2,0
1.18778E+18,38722,like,1.18778E+18,0,2,0
29547923_1,38722,like,29547923,1,2,0
1.31354E+18,38722,like,1.31354E+18,0,1,1
4019186953,38722,like,4019186953,0,1,0
3893086401,38722,like,3893086401,0,1,0
190883992,38722,like,190883992,0,1,0
1199085544317300738_1,38722,like,1.19909E+18,1,1,0
1.47629E+18,38722,like,1.47629E+18,0,1,1
1.60152E+18,38722,like,1.60152E+18,0,1,0
189154456,38722,like,189154456,0,3,0
161225129,38794,like,161225129,0,2,0
9.89151E+17,38794,like,9.89151E+17,0,3,0
1.51089E+18,38794,like,1.51089E+18,0,2,0
1.14088E+18,38794,like,1.14088E+18,0,1,1
1.50174E+18,38794,like,1.50174E+18,0,1,0
3884591481,38794,like,3884591481,0,3,0
1.15813E+18,38794,like,1.15813E+18,0,2,0
400839116,38794,like,400839116,0,1,1
2736372035,38794,like,2736372035,0,1,0
4798326119_1,38794,like,4798326119,1,1,0
1.28284E+18,38794,like,1.28284E+18,0,2,0
3243479839,38794,like,3243479839,0,1,0
2316137893,38794,like,2316137893,0,1,0
2771775113_1,38794,like,2771775113,1,1,0
101338585,38794,like,101338585,0,1,1
1334246406,38794,like,1334246406,0,1,0
2578550351,38794,like,2578550351,0,1,0
1.43222E+18,38794,like,1.43222E+18,0,1,0
2873737984,38794,like,2873737984,0,3,0
1.3938E+18,38794,like,1.3938E+18,0,2,0
3342912087,38794,like,3342912087,0,1,0
326504158_1,38794,like,326504158,1,3,0
299525009,38794,like,299525009,0,1,0
1.14954E+18,38794,like,1.14954E+18,0,1,0
1.11016E+18,38794,like,1.11016E+18,0,1,1
1.2685E+18,38867,like,1.2685E+18,0,2,0
240828333,38867,like,240828333,0,1,0
74964738,38867,like,74964738,0,1,0
1.53757E+18,38867,like,1.53757E+18,0,1,0
890221355819520001_1,38867,like,8.90221E+17,1,1,0
114085473,38867,like,114085473,0,1,1
1217655302,38867,like,1217655302,0,3,0
8.31444E+17,38867,like,8.31444E+17,0,1,1
1.00954E+18,38867,like,1.00954E+18,0,2,0
469787715,38867,like,469787715,0,1,0
1.48395E+18,38867,like,1.48395E+18,0,1,1
303109935,38867,like,303109935,0,1,0
1.38423E+18,38867,like,1.38423E+18,0,3,0
8.36433E+17,38867,like,8.36433E+17,0,1,0
7.38071E+17,38867,like,7.38071E+17,0,1,0
3729065953_1,38867,like,3729065953,1,1,0
1.13353E+18,38867,like,1.13353E+18,0,1,1
9.92467E+17,38867,like,9.92467E+17,0,1,0
8.84123E+17,38867,like,8.84123E+17,0,1,0
2948442982,38867,like,2948442982,0,1,0
462146997,38867,like,462146997,0,1,0
1215056151211057152_1,38867,like,1.21506E+18,1,1,0
1.42586E+18,38867,like,1.42586E+18,0,2,0
4922720430,38867,like,4922720430,0,1,0
2666296511,38867,like,2666296511,0,2,0
1.43855E+18,38867,like,1.43855E+18,0,2,0
1896018013,38867,like,1896018013,0,1,0
7.95127E+17,38867,like,7.95127E+17,0,1,0
1051608570603614208_1,38939,like,1.05161E+18,1,1,0
